ID,Title,Description,DevelopmentCategory,AgeGroup,excerciseID
255,"Points to own head, eyes, ears, nose, & mouth","{NAME} can point to own head, eyes, ears, nose, & mouth when requested.",2,22,2812
256,Tries to hold a thick crayon using fingers & thumb,"{NAME} tries to hold a thick crayon using thumb, index, & middle fingers called the ""tripod grip"".",2,22,2825
257,Able to poke with finger,{NAME} is able to poke a person or object with index finger.,2,23,2924
258,Hand preference when drawing is established,{NAME} uses {HISHER} dominant hand all of the time when drawing.,2,23,2923
259,Uses fork & spoon well when eating,{NAME} uses fork & spoon well when eating most of the time.,2,23,2914
260,Holds crayon with fingers & thumb,{NAME} holds crayon with tripod grip most of the time.,2,24,2923
261,Can catch a ball with both arms using body to stop the ball,"{NAME} can catch a ball with both arms under hand using chest to stop the ball, but loses balance frequently.",2,24,3013
262,Can turn pages individually in a book,{NAME} can successfully turn paper pages individually in a book most of the time.,2,24,3014
263,Can draw a vertical line,{NAME} can draw a vertical line,2,24,3010
264,Strings 4 large beads,{NAME} can thread up to 4 large beads onto a thick string or piece of yarn without help.,2,25,3110
265,Play with toys with small moving parts,{NAME} is able to successfully play with toys with small moving parts.,2,26,3228
266,Builds a block tower of at least 6 -7 blocks,{NAME} can successfully build a block tower of at least 6 -7 blocks without help.,2,26,3205
267,Turn on the faucet & wash hands,{NAME} can turn on the faucet & wash hands without help most of the time.,2,27,3214
268,Begins to know how to work snaps,{NAME} can close & open snaps with help.,2,28,3392
269,Can pull up a zipper,{NAME} can pull up a zipper with help.,2,28,3391
270,Can pull a zipper down,{NAME} can pull down a zipper with help.,2,29,3486
271,Complete a 3 or 4 piece puzzle,{NAME} can successfully complete a 3 or 4 piece puzzle without help most of the time.,2,30,3592
272,Builds a 8 block tower,{NAME} can successfully build a tower of 8 blocks without help most of the time.,2,31,3700
273,Holds crayon with fingers,{NAME} can successfully hold crayon with 5-finger grasp most of the time.,2,31,3702
274,Brush own teeth & hair,"{NAME} can brush own teeth & hair by {HIMSELFHERSELF}, but not well.",2,32,3812
275,Can draw a horizontal line,{NAME} draw a horizontal line,2,32,3817
276,Scribbles in circular motion,{NAME} can scribble in circular motion as opposed to just left & right.,2,33,3924
277,Can carry container with little spilling or dropping,{NAME} can carry objects without dropping them or a fluid-filled container with little spilling most of the time.,2,33,3909
278,Can pull pants down,{NAME} can successfully pull pants down without help most of the time.,2,34,3963
279,Puts on socks,{NAME} can successfully put on socks without help most of the time.,2,35,4088
280,Puts on shoes,{NAME} can successfully put on slip-on shoes without help most of the time.,2,35,4089
281,Builds tower of 9 - 10 blocks,{NAME} can successfully build a tower of 9 - 10 blocks without help most of the time.,2,35,4090
282,Use door handles,{NAME} can successfully use door handles without help most of the time.,2,36,4197
283,Can trace a circle,{NAME} can trace a circle,2,36,4196
284,Can button & unbutton large buttons,{NAME} can successfully button & unbutton large buttons without help most of the time.,2,36,4198
285,Can draw a circle,"{NAME} can successfully draw a circle, but not well.",2,37,
286,Snips with scissors on a line,"{NAME} can snip with scissors on a line, but not very well.",2,37,
287,Start to count groups of things,"{NAME} begins to be able to count groups of things such as a 3 giraffes, 2 lions, 4 zebras.",3,37,
288,Can open twist-on lids,{NAME} can successfully open twist-on lids without help most of the time.,2,38,
289,Can twist lids on jars closed,{NAME} can successfully close twist-on lids without help most of the time.,2,38,
290,Can draw a square,"{NAME} can draw a square, but not well.",2,40,
291,Fold a piece of paper in half,{NAME} can successfully fold a piece of paper in half without help most of the time.,2,40,
292,Can work levers,{NAME} can work a lever without help most of the time.,2,42,
293,Can trace a cross-shape,{NAME} can trace a cross-shape when drawing.,2,42,
294,Able to wash & dry face,{NAME} is able to wash & dry {HISHER} face {HIMSELFHERSELF}.,2,47,
295,Can pull pants up,{NAME} can successfully pull pants up without help most of the time.,2,47,
296,Can dress {HIMSELFHERSELF},{NAME} can dress {HIMSELFHERSELF} without help most of the time.,2,47,
297,Looks at things longer,{NAME} looks at things for a longer period of time.,3,2,160
298,Explores body by putting hands & feet in mouth,{NAME} explores body by putting hands & feet in mouth.,3,2,181
299,Fascinated by objects in motion,{NAME} fascinated by objects in motion.,3,3,260
300,Watches active people,{NAME} watches active people.,3,3,269
301,Reaches to touch image of {HIMSELFHERSELF} in mirror,{NAME} reaches to touch image of {HIMSELFHERSELF} in mirror.,3,3,261
302,Opens mouth when objects comes near mouth,"{NAME} opens {HISHER} mouth when pacifier, bottle, or toy comes near mouth.",3,3,262
303,"Explores hands, feet & knees with mouth","{NAME} explores hands, feet, & knees with mouth.",3,3,695
304,Recognizes feeding bottle,{NAME} recognizes feeding bottle.,3,3,262
305,Interested in shiny objects,{NAME} is interested in shiny objects such as jewelry.,3,4,374
306,Studies {HISHER} moving feet,{NAME} studies {HISHER} moving feet.,3,4,328
307,Studies clothing & objects,{NAME} studies clothing & objects.,3,4,377
308,Explores your face with {HISHER} hands,{NAME} explores your face with {HISHER} hands.,3,4,375
309,Plays with your hands,{NAME} plays with your hands to study them.,3,4,372
310,Differentiates between familiar & unfamiliar faces,{NAME} can differentiate between familiar & unfamiliar faces,3,5,504
311,Aware of strangers,{NAME} is aware of strangers.,3,5,512
312,Studies both sides of own hands,{NAME} studies both sides of {HISHER} own hands.,3,5,503
313,Grasps objects deliberately,{NAME} grasps objects on purpose.,3,5,485
314,Imitates simple movements,{NAME} imitates simple movements of others.,3,6,656
315,Can pull cloth off of {HISHER} own face,{NAME} can pull a cloth off of {HISHER} own face.,3,6,653
316,Looks for person out of sight,{NAME} looks for person who is out of sight.,3,6,654
317,Tries new actions,{NAME} tries new actions.,3,6,656
318,Helps by pulling leg out of pants when being undressed,{NAME} is aware that{HESHE} is being undressed & helps by pulling leg out of pants.,3,6,708
319,Plays with a single toy for 2 - 3 minutes,{NAME} has increased attention span & can play with a single toy for 2 - 3 minutes.,3,6,655
320,Mimics nodding or shaking head,{NAME} can observe you nodding or shaking your head & mimic it.,3,7,807
321,Looks for partially hidden object,{NAME} looks for partially hidden object.,3,7,809
322,Reacts to hearing own name,{NAME} recognizes & reacts to hearing {HISHER} own name.,3,7,808
323,Listens intently when spoken to,{NAME} listens intently when spoken to.,3,8,1044
324,Enjoys a larger selection of toys,{NAME} likes to play with a variety of toys that do different things,3,8,977
325,Moves towards objects of interest,{NAME} moves body towards objects of interest.,3,8,926
326,Can hold toy in one hand & reach with the other,{NAME} is able to hold onto a toy in one hand & reach with the other without dropping the first toy.,3,8,969
327,Explores your hair by rubbing it while being carried,{NAME} explores your hair by rubbing it with {HISHER} hands while being carried.,3,8,1048
328,Splash bath toys to see what happens,{NAME} splashes bath toys to see what happens.,3,8,979
329,Drops food on floor for pet to eat,{NAME} drops food on floor for pet to eat.,3,8,1033
330,Looks for object that has been dropped,{NAME} looks for object that has been dropped remembering that {HESHE} used to have the object.,3,9,1225
331,Explore objects with interest,{NAME} is actively engaged when playing with a toy or exploring and object.,3,9,1176
332,Focuses on nearby objects & those up to 10 feet away,{NAME}'s eyesight is developing which allows {HERHIM} to focus on nearby objects & those that are up to 10 feet away.,3,9,1200
333,Can pull blanket off of hidden object,{NAME} can pull blanket off of hidden object.,3,9,1165
334,Reaches for object at which you are pointing,{NAME} can reach for object at which you are pointing.,3,9,1199
335,"Stops immediately when told ""no""","{NAME} stops immediately when told ""no"".",3,9,1185
336,Realizes that objects outside of field of vision still exists,"{NAME} realizes that objects outside of {HISHER} field of vision still exists. This concept is called ""object permanence"".",3,9,1164
337,Recognizes differences between objects,"{NAME} recognizes differences between objects, such as size, texture, or color.",3,10,683
338,Enjoys playing peek-a-boo & pat-a-cake,"{NAME} enjoys playing simple, structured games like peek-a-boo & pat-a-cake.",3,10,1353
339,Repeats a sequence of actions with object,"{NAME} repeats a sequence of actions with and object like bang-shake-chew, bang-shake-chew.",3,10,1354
340,Understands that [he/she] can remove uncomfortable items,"{NAME} Understands that [he/she] can remove uncomfortable items that [he/she] is in contact with, such as tugging on a sock to remove it.",3,10,1174
341,Explores details on objects,{NAME} notices & explores details on objects.,3,11,1360
342,Pays attention to songs & stories for a short time,{NAME} pays attention to songs & stories for a short period of time.,3,11,1629
343,Repeats action when responded to,{NAME} will repeat something {HESHE} did when you react to it to get more attention.,3,12,1715
344,Points to certain objects when asked,"{NAME} can point to certain objects when asked such as, ""Can you point to the rabbit on the page?""",3,12,1714
345,Can follow simple instructions,"{NAME} is able to follow simple instructions like, ""Hand me the ball.""",3,12,1711
346,Looks for missing toy that has rolled out of sight,{NAME} has left the Tertiary Circular Reaction stage by making a prediction of its trajectory & searching for it in that direction.,3,12,1712
347,Seeks help with a problem,{NAME} seeks help with a problem such as handing you a broken toy to fix it.,3,12,1713
348,Recognizing differences in sizes,{NAME} comprehends differences in sizes such as a small ball is different than a large ball or shoe is smaller than a chair.,3,13,1831
349,Observes & tries to imitate what {HESHE} sees,{NAME} observes & tries to imitate what {HESHE} sees such as wiping a table or stirring a pot.,3,13,1837
350,Mimics parent's behavior,{NAME} mimics parent's daily behaviors such as talking on phone.,3,13,1843
351,"Understand basic commands like ""stop""","{NAME} understands basic commands like ""stop"".",3,13,1832
352,Interested in pushing buttons,{NAME} interested in pushing buttons to see what they do.,3,14,1928
353,Helps put toys away when asked to,{NAME} helps put toys away when you ask {HERHIM} to.,3,14,1946
354,Makes connection between word & image,"{NAME} makes connection between word & image such as the word ""dog"" & and image of a dog.",3,14,1990
355,Looks at colored images with interest,{NAME} is attracted to vibrantly colored images.,3,14,2001
356,Enjoys simple books,{NAME} enjoys simple books.,3,15,2108
357,Tests cause & effect,{NAME} tests cause & effect like knocking down a block tower.,3,16,2163
358,Solves problems with trial & error,{NAME} solves problems with trial & error such as continuing to turn a triangle & test the fit until it goes into the shape sorter.,3,16,2145
359,Recognizes when words or images are upside down,{NAME} recognizes when words or images are upside down such as holding a book right-side up.,3,17,2276
360,Can build something using several different objects,{NAME} can build something using several different objects such as a putting paper plates on a box to turn it into a car.,3,17,2277
361,Pretends to do everyday activities,"{NAME} pretends to do everyday activities with the objects used to do them, such as stirring and empty pot with a spoon.",3,18,2411
362,Engages in imaginative play with imaginary objects,{NAME} engage in imaginative play with imaginary objects such as holding hands up to pretend to hold a steering wheel.,3,18,2392
363,Pretends that one object is another object,{NAME} pretends that one object is another object like a box is a shoe.,3,18,2396
364,Can follow basic instructions,{NAME} can follow basic instructions like wipe your face.,3,18,2391
365,Can group 3 similar objects out of a selection of 4 objects,"{NAME} can group 3 similar objects out of a selection of 4 objects such as picking out 3 bowls out of a group of bowl, bowl, bowl, spoon.",3,18,2389
366,Understands sequence of everyday tasks,{NAME} can anticipate the next step while participating in and everyday task such as knowing that you cut the vegetables before putting them in a pot.,3,18,2390
367,Recognizes familiar images,{NAME} recognizes familiar images such as photos of family members or animals in a favorite book.,3,19,2258
368,Pretends to do activities not done everyday,"{NAME} pretends to do activities with imaginary objects that not done everyday like using a spoon as a shot to ""Play Doctor"".",3,19,2506
369,Changes clothing to pretend to be another person,{NAME} changes clothing to pretend to be another person like a firefighter.,3,19,2507
370,Can put together a puzzle of 3 or more pieces,{NAME} can correctly orient pieces of a puzzle & match the color to assemble a puzzle of 3 or more pieces.,3,20,2614
371,Points to and image that represents a word,{NAME} can point to and image that represents the word that is spoken such as pointing to the cat in the illustration of a group of animals in a book.,3,20,2617
372,Tries to solve {HISHER} own small problems,{NAME} is beginning to try to solve {HISHER} own small problems like looking for missing toy.,3,20,2615
373,Understands the difference between up & down,"{NAME} understands the positional words ""up"" & ""down"".",3,21,2720
374,Combines two different imaginary scenarios,{NAME} combines two different scenarios with imaginary objects during imaginative play like going to the grocery store & then coming home.,3,21,2721
375,Can plan & explain a simple task,"{NAME} can explain {HISHER} plan to complete a simple task in simple terms such as taking food out, to cut, cook, & eat food.",3,21,2723
376,Imaginative play becomes more complicated,{NAME} imaginative play becomes more complex such as using the tie from a bathrobe as a firehose & a bowl is a firehat.,3,21,2722
377,Know uses of everyday objects,{NAME} know uses of everyday objects such as spoon or bottle.,3,22,2829
378,Understands the difference between in & under,{NAME} understands the difference between in & under such as the book is on the table as opposed to the book is under the table.,3,22,2827
379,Asks about things {HESHE} does not understand,{NAME} asks about things that [he/she] does not understand like what a blender is or how it works.,3,22,2830
380,Understands difference between words indicating location,"{NAME} understands difference between words indicating location such as on/off, under/over, together/apart",3,23,2926
381,Shows natural curiosity about surroundings,{NAME} shows natural curiosity about surroundings such as a watching a colony of ants or the veins on a leaf.,3,23,2930
382,Imagine play scenarios follow logical sequence,"{NAME} imagine play scenarios follow logical sequence such as get vegetables, cut, cook, then eat.",3,24,3025
383,Interested in trying new activities & experiences,{NAME} is interested in doing new activities & trying new experiences.,3,24,3026
384,Matches various objects to their uses,"{NAME} match various objects to their uses such as a pot for cooking, a broom for sweeping, or a shovel for digging.",3,25,3125
385,Follows 2-step instructions,"{NAME} can follow 2-step instructions such as, ""Go in the other room & get your shoes.""",3,26,3190
386,Names known images in books,"{NAME} can recognize & name images that {HESHE} knows in books such as a car, house, or tree.",3,26,3210
387,Asks questions about the world,"{NAME} ask questions about the world such as, ""Where does the squirrel sleeps at night?"" or ""Why is the sky blue?""",3,27,3309
388,Stacks rings in order from large to small,{NAME} is able stack rings in order from large to small demonstrating understanding of relative size & sequencing.,3,27,3308
389,Group toys by type size or color,{NAME} can group toys by type size or color.,3,28,3399
390,Sits to look at books independently,"{NAME} can sit to look at books independently even if, [{HESHE} prefers to have you read the book to {HERHIM}.",3,28,3400
391,Asks questions to understand words,{NAME} asks questions to understand words {HESHE} doesn't understand.,3,29,3501
392,Is able to locate objects that you are pointing to,{NAME} is able to follow the direction of your finger & is able to locate objects to which you are pointing.,3,29,3492
393,Recognizes {HIMSELFHERSELF} in the mirror,{NAME} can identify {HIMSELFHERSELF} when looking in a mirror.,3,30,3595
394,Explores surroundings,{NAME} is curious & explores {HISHER} surroundings.,3,30,3596
395,Understands the order sequence of familiar events,"{NAME} understands the order sequence of familiar events such as getting undressed, putting on pajamas, brushing teeth, read a story, & go to bed.",3,31,3714
396,Can pay attention for 5 minutes,{NAME} can pay attention to a toy or and activity for 5 minutes before getting distracted.,3,31,3713
397,Can create & explain unique play scenarios,{NAME} can create & explain unique play scenarios that {HESHE} has never experienced like flying on a dragon.,3,31,3730
398,Finds unique ways to solve problems,{NAME} finds unique ways to solve problems such as using a broom to retrieve a toy from underneath the couch.,3,32,3820
399,Can detect patterns,"{NAME} can detect patterns such as matching edges of puzzle pieces to each other, in clapping sequences or in sequence of stripes.",3,33,3935
400,Matches circles & squares,{NAME} can match circles & squares.,3,33,3933
401,Realizes that {HESHE} can do things on {HISHER} own,{NAME} may begin to realize that {HESHE} can do things on {HISHER} own.,3,34,4035
402,Recognizes when a toy is missing & searches for it,{NAME} recognizes when a toy is missing & searches for it.,3,35,4104
403,Can point to the correct picture when asked to identify it,{NAME} can point to the correct picture when asked to identify it.,3,35,4103
404,Can show age by holding up fingers when asked,{NAME} can show age by holding up fingers when asked.,3,36,4210
405,Remembers & talks about things that happened in the past,{NAME} remembers & talks about things that happened in the past like taking the cat to the vet last week.,3,36,4212
406,Can remove & put back on some clothing,{NAME} can remove & put back on some clothing,3,36,4088
407,Follows 3-step directions,{NAME} follows 3-step directions.,3,37,
408,Knows most colors,{NAME} knows most colors.,3,37,
409,Understands same & different,{NAME} understand the concept of same & different.,3,38,
410,Forms theories about objects or situations,{NAME} forms theories about objects or situations such as where the sun goes at night.,3,39,
411,Remembers parts of a story,{NAME} remembers parts of a story.,3,40,
412,"Understands time in terms of morning, afternoon, & night","{NAME} understands the concept of time in terms of knowing the difference between morning , afternoon, & night.",3,41,
413,"Understands concepts of ownership such as ""his"" & ""hers""","{NAME} understands concepts of ownership such as ""his"" & ""hers"".",3,42,
414,"Understands what ""two"" means","{NAME} understands what ""two"" means such as having two cookies is different than one cookie.",3,43,
415,Can select 3 similar items out of a set of 4,{NAME} can select 3 similar items out of a set of 4 such as choosing 3 pots out of a group of pot-pot-spoon-pot.,3,44,
416,Makes plans for future activities,{NAME} makes plans for future activities such as a birthday party or a playdate.,3,44,
417,Plays with new toys in a variety of ways,{NAME} plays with new toys in a variety of ways.,3,45,
418,Feeds self without difficulty,{NAME} feeds self without difficulty.,3,46,
419,Can differentiate between real & pretend world,{NAME} can differentiate between real & pretend world.,3,46,
420,Tries to engage others in {HISHER} imaginary scene,{NAME} is able to create and imaginary scene using different objects in order engage others in play such as serving someone food as if they are in a restaurant.,3,47,
421,Counts up to 4 objects,{NAME} counts up to 4 objects.,3,47,
422,Follows basic rules of grammar,{NAME} follows basic rules of grammar,3,47,
423,Begins to understand days of the week,{NAME} begins to understand the concepts of time: Days of the week,3,47,
424,Self-soothes by sucking on hands or fingers,{NAME} self-soothes by sucking on hands or fingers.,4,2,139
425,Stops nursing to respond with a smile,{NAME} stops nursing to respond with a smile.,4,2,163
426,Maintains eye contact with you,{NAME} maintains eye contact with you.,4,2,161
427,Expresses likes & dislikes,{NAME} expresses likes & dislikes.,4,2,162
428,Lifts head while on stomach to look at you,{NAME} lifts head while on stomach to look at you.,4,2,130
429,Settles down when beginning to feed,{NAME} settles down when beginning to feed.,4,2,166
430,"Different cries for hunger, pain, being tired","{NAME} expresses different cries for hunger, pain, & being tired.",4,3,272
431,Smiles in response to a smile,{NAME} smiles in response to a smile.,4,3,271
432,Expresses anticipation,{NAME} expresses anticipation such as seeing you prepare a bottle.,4,3,273
433,Looks away to take a break from engagement or activity,{NAME} looks away to take a break from engagement or activity.,4,3,422
434,Notices family members when they approach,{NAME} notices family members when they approach.,4,3,276
435,Calms down in anticipation of being picked up,{NAME} calms down in anticipation of being picked up.,4,3,286
436,Calms down when held,{NAME} calms down when held.,4,3,274
437,"Responds to people by crying, smiling, or laughing","{NAME} responds to people by crying, smiling, or laughing.",4,4,389
438,Enjoys looking at {HIMSELFHERSELF} in mirror,{NAME} enjoys looking at {HIMSELFHERSELF} in mirror.,4,4,377
439,Interested in people's faces & voices,{NAME} interested in people's faces & voices.,4,4,382
440,Watches facial expressions,{NAME} watches facial expressions.,4,4,390
441,Smiles in order to keep your attention,{NAME} smiles in order to keep your attention.,4,4,384
442,Calms down when clean diaper is put on,{NAME} calms down when clean diaper is put on.,4,4,388
443,"Expresses discomfort by ""whining""","{NAME} expresses discomfort by ""whining"".",4,5,726
444,"Shows enjoyment by ""talking""","{NAME} shows enjoyment by ""talking"".",4,5,578
445,Expresses boredom,{NAME} expresses boredom.,4,5,503
446,Protests when passed to a new person,{NAME} protests when passed to a new person.,4,5,504
447,Shifts attention between you & and object of interest,{NAME} shifts attention between you & and object of interest.,4,5,495
448,Stranger anxiety,{NAME} shows anxiety around strangers.,4,6,666
449,Reacts to emotional tones,{NAME} reacts to emotional tones such as encouragement or disapproval.,4,6,730
450,Behaves differently with different people,{NAME} behaves differently with different people.,4,6,673
451,Stretches arms to be picked up,{NAME} stretches arms to be picked up.,4,6,689
452,Expresses hunger,"{NAME} lets you know when {HESHE} is hungry by crying, fussing, or using agitated movements.",4,6,726
453,Repeats your actions,{NAME} repeats your actions such a shaking a rattle or making silly faces.,4,6,665
454,Clings to you when scared,{NAME} clings to you when scared.,4,6,679
455,Sighs & stops crying when you come to comfort {HERHIM},{NAME} sighs & stops crying when you come to comfort {HERHIM}.,4,6,679
456,Separation anxiety,{NAME} shows anxiety when you leave the room or leave the house.,4,7,822
457,Opens mouth near food & drink,{NAME} opens mouth near food & drink.,4,7,854
458,Spits out food when no longer wants it,{NAME} spits out food when [he/she] no longer wants it.,4,7,838
459,Protests when you step away,{NAME} protests when you move away from {HERHIM}.,4,7,822
460,Laughs when happy,{NAME} laughs when happy.,4,7,833
461,Turns head away to hide when scared while being held,{NAME} turns head away to hide while being held when scared of a person or object.,4,7,824
462,Repeats noise or action to keep your attention,{NAME} repeats noise or action in order to keep your attention.,4,7,853
463,Prefers certain toys,{NAME} prefers certain toys.,4,8,993
464,Pushes away drink when no longer wants it,{NAME} pushes away drink when no longer wants it.,4,8,1067
465,Turns head away from food when full,{NAME} turns head away from food when full.,4,8,1067
466,Reacts to unusual behavior,{NAME} reacts to unusual behavior such as a sibling doing a somersault.,4,8,1060
467,Kicks at diaper when being changed,{NAME} kicks at diaper when being changed to let you know that [he/she] does not want to be changed.,4,8,923
468,Cries when toy is taken away,{NAME} cries & grabs at your arm when a toy or desired object is taken away.,4,8,1008
469,Moves towards you to be closer,{NAME} moves towards you to be closer.,4,8,904
470,Expresses impatience,{NAME} expresses impatience.,4,9,1258
471,Screams in frustration,{NAME} screams in frustration.,4,9,1258
472,Expresses displeasure,"{NAME} expresses displeasure such as not liking certain textures or smells, the taste of certain foods, or activity like being put in the car seat.",4,9,1258
473,Stares at pictures in book,{NAME} stares at pictures in book.,4,9,1264
474,Turns head away from something not wanted,{NAME} turns head away from something not wanted like food or toy.,4,9,889
475,Pushes away object not wanted,{NAME} pushes away object not wanted such as food or toy.,4,9,889
476,Points to objects & shows them to others,{NAME} points at things to draw your attend to them & to share with you the things that {HESHE} enjoys.,4,9,1182
477,Increased anxiety after time away from you,{NAME} increased & continued anxiety after you return from being away for and extended period of time in order to let you know that {HESHE} is upset.,4,9,826
478,Hands object to engage person,{NAME} hands object to engage you or another person.,4,10,1438
479,Self-soothes with toy or blanket,{NAME} self-soothes with toy or blanket.,4,10,1371
480,Crawls after you when you are leaving,{NAME} crawls after you when you are leaving in order to go with you.,4,10,1374
481,Pushes toy on floor repeatedly to get you to pick it up,{NAME} pushes toy on floor repeatedly to get you to pick it up.,4,10,1399
482,"Reaches up to you for comfort when ""hurt""","{NAME} reaches up to you for comfort when ""hurt"".",4,10,1448
483,Push your hand away when not wanting to put clothes on,{NAME} push your hand away when not wanting to put clothes on.,4,10,1448
484,Expresses frustration & looks to you for help,{NAME} expresses frustration & looks to you for help.,4,10,1448
485,Enjoys simple games: peekaboo & pattycake,{NAME} enjoys simple games such as peekaboo & pattycake.,4,11,1525
486,Reacts to reflection of their face in mirror,{NAME} reacts to reflection of their face in mirror.,4,11,1560
487,Points at things to get you to notice them,{NAME} points at things to get you to notice them.,4,11,1562
488,Takes turns doing and activity with you,{NAME} takes turns doing and activity with you.,4,11,1498
489,"""Shares"" food with you","{NAME} ""shares"" food with you.",4,11,1693
490,Able to become calm by holding object.,{NAME} is able to calm down when given and object to hold when in distress.,4,12,1723
491,Wipes own face when offered a napkin,{NAME} wipes {HISHER} own face when offered a napkin.,4,12,1724
492,Can choose a favorite toy to take along when leaving home,{NAME} can choose a favorite toy to take along when leaving home.,4,12,1725
493,Comes to you when called,{NAME} comes to you when called.,4,12,1722
494,Goes to parent or sibling when directed,{NAME} goes to parent or sibling when directed.,4,12,1759
495,Hands toy to you to keep play going,{NAME} hands toy to you to keep you playing with {HERHIM}.,4,12,1728
496,Smiles & laughs in reaction to a person's actions,{NAME} smiles & laughs in reaction to a your or another person's actions such as making silly faces or using a pot as a hat.,4,12,1756
497,Watches other kids play,{NAME} watches other kids play.,4,13,1884
498,Attempts daily activities,{NAME} attempts daily activities such as brushing hair or feeding you while you feed {HERHIM}.,4,13,1842
499,Invites you to play,{NAME} invites you or others to play.,4,13,1843
500,Seeks out activities that are enjoyed,{NAME} seeks out activities that are enjoyed such as a favorite game or puzzle.,4,13,1885
501,Shows affection to familiar people,{NAME} shows affection to familiar people without being asked.,4,13,1882
502,Tries to engage you in play by bringing toy to you,{NAME} tries to engage you in play by bringing toy to you.,4,14,1956
503,Tries to make you laugh,{NAME} tries to make you laugh by repeating and action that received one before,4,14,1997
504,Raises arms when wanting to be picked up,{NAME} raises arms when wanting to be picked up.,4,14,2005
505,"Express happiness, sadness & frustration","{NAME} express happiness, sadness & frustration.",4,14,2005
506,Begins to assert independence,{NAME} is beginning to assert independence.,4,15,2064
507,Engages in silly behavior with objects to get attention,{NAME} engages in silly behavior with objects to get attention.,4,15,1997
508,Helps with simple daily chores,{NAME} helps with simple daily chores.,4,15,1946
509,"Interested in ""helping"" to stay engaged with you","{NAME} is interested in ""helping"" to stay engaged with you.",4,15,1990
510,Mild temper tantrums when frustrated,{NAME} has mild temper tantrums when frustrated.,4,16,2178
511,"""Checks in"" with you regularly when playing on own","{NAME} ""checks in"" with you regularly when playing on own by looking over at you regularly.",4,16,2180
512,Wants attention from you most of the time,{NAME} wants attention from you most of the time.,4,16,2172
513,Understands the concept of ownership,"{NAME} understands the concept of ownership by saying ""mine"".",4,16,2179
514,Tolerates help staying with a task even when upset,{NAME} tolerates help staying with a task even when upset.,4,16,2187
515,Expresses a desire to do things by {HIMSELFHERSELF},{NAME} expresses a desire to do things by {HIMSELFHERSELF}.,4,17,2291
516,Expresses a desire to do things {HISHER} own way,{NAME} expresses a desire to do things {HISHER} own way.,4,17,2182
517,Reacts to familiar songs & stories,{NAME} reacts to familiar songs & stories.,4,17,2293
518,Cries when someone else nearby is upset,{NAME} shows empathy by crying when someone else nearby is upset.,4,17,2292
519,Can calm {HIMSELFHERSELF} down with help,{NAME} can calm [himself/herself] down with encouraging words from you.,4,18,2413
520,Can stop doing a desired task & shift to a different activity,{NAME} can stop doing a desired task & shift to a different activity such as switching {HISHER} attention from a puzzle to putting on {HISHER} shoes.,4,18,2412
521,Comfortable exploring the room when you are nearby,{NAME} is comfortable exploring the room when you are nearby.,4,18,2419
522,Can express & share enjoyment with you,{NAME} can express {HISHER} enjoyment & want to share it with you.,4,19,4014
523,Able to remain patient for longer periods of time,{NAME} able to remain patient for longer periods of time before and anticipated activity like going to the park or playdate.,4,19,2525
524,Repeats actions that made someone laugh,{NAME} repeats actions that made someone laugh such as putting on your sunglasses.,4,19,1641
525,Remains engaged in and activity longer.,{NAME} can stay engaged in and activity with you for longer periods of time.,4,20,2635
526,Requests objects that soothe when upset,{NAME} requests objects that soothe when upset such as asking for a teddy bear when getting a shot.,4,20,2636
527,Is able to calm down more quickly after being upset,{NAME} is able to calm down more quickly after being upset.,4,20,2642
528,"Can observe, listen, understand, & choose to follow instructions","{NAME} can observe, listen, understand, & choose to follow instructions.",4,21,2743
529,Begins to have patience to take turns,{NAME} is beginning to have patience to take turns while playing a game.,4,21,2742
530,Able to calm down when upset when redirected,{NAME} is able to calm down when upset when redirected.,4,22,2847
531,Does not share willingly,{NAME} does not share willingly.,4,23,2956
532,Expresses {HISHER} feelings with words & actions,{NAME} expresses {HISHER} feelings with words & actions.,4,23,2949
533,Uses words to show you {HISHER} achievements,{NAME} uses words to show you {HISHER} achievements such as telling you to look at the puzzle {HESHE} has completed.,4,23,2947
534,Has unpredictable behavior,{NAME} has unpredictable behavior such as suddenly running out into the street.,4,24,3042
535,Talks to you about subject of interest to engage you,{NAME} talks to you about subject of interest to engage you such as telling you all about dinosaurs.,4,24,3043
536,Begins to negotiate,{NAME} is beginning to negotiate when activity is not in {HISHER} interest or favor such as asking for a shorter nap time in exchange for eating all of {HISHER} lunch.,4,24,3044
537,"Can calm self down, then tell you what is needed","{NAME} can calm {HIMSELFHERSELF} down, then tell you what {HESHE} needs or wants.",4,24,3045
538,Mimics others speech & behavior,"{NAME} mimics the words that you or others use, the way that you talk, or act.",4,25,3135
539,"Plays next to children, but not with them","{NAME} plays next to children, but not with them. This is called ""Parallel play"".",4,25,3134
540,Chooses to disobey,{NAME} makes a conscience decision to disobey.,4,25,3136
541,Enjoys being near other kids,{NAME} enjoys being near other kids.,4,26,3230
542,Has a strong sense of ownership,{NAME} has a strong sense of ownership.,4,26,3229
543,Treats doll or stuffed animal as if it was alive,{NAME} treats doll or stuffed animal as if it was alive.,4,27,3320
544,Shows wider range of emotions,"{NAME} shows wider range of emotions such as joy, frustration, & excitement.",4,28,3412
545,"Plays alongside other children, but not with them","{NAME} plays independently alongside other children, but not with them.",4,29,3509
546,Still confuses pretend play with reality,{NAME} still confuses pretend play with reality such as believing the dragon from the movie is real or {HISHER} stuffed animals are alive.,4,29,3508
